system,game,art_old,art_new,score
Nintendo Game Boy Advance,"Mission Impossible - Operation Surma (USA) (En,Fr,Es)","Mission Impossible - Operation Surma (USA) (En,Fr,Es).jpg","Mission Impossible - Operation Surma (USA) (En,Fr,Es).jpg",100.0
Nintendo Game Boy Advance,MLB SlugFest 20-04 (USA),MLB SlugFest 20-04 (USA).jpg,MLB SlugFest 20-04 (USA).jpg,100.0
Nintendo Game Boy Advance,Mobile Suit Gundam Seed - Battle Assault (USA),Mobile Suit Gundam Seed - Battle Assault (USA).jpg,Mobile Suit Gundam Seed - Battle Assault (USA).jpg,100.0
Nintendo Game Boy Advance,Monopoly (USA),Monopoly (USA).jpg,Monopoly (USA).jpg,100.0
Nintendo Game Boy Advance,Monster Force (USA),Monster Force (USA).jpg,Monster Force (USA).jpg,100.0
Nintendo Game Boy Advance,"Monster House (USA) (En,Fr)","Monster House (USA) (En,Fr).jpg","Monster House (USA) (En,Fr).jpg",100.0
Nintendo Game Boy Advance,Monster Jam - Maximum Destruction (USA),Monster Jam - Maximum Destruction (USA).jpg,Monster Jam - Maximum Destruction (USA).jpg,100.0
Nintendo Game Boy Advance,Monster Rancher Advance (USA),Monster Rancher Advance (USA).jpg,Monster Rancher Advance (USA).jpg,100.0
Nintendo Game Boy Advance,Monster Rancher Advance 2 (USA),Monster Rancher Advance 2 (USA).png,Monster Rancher Advance 2 (USA).png,100.0
Nintendo Game Boy Advance,"Monster Truck Madness (USA, Europe)","Monster Truck Madness (USA, Europe).jpg","Monster Truck Madness (USA, Europe).jpg",100.0
Nintendo Game Boy Advance,"Monster Trucks (USA, Europe)","Monster Trucks (USA, Europe).png","Monster Trucks (USA, Europe).png",100.0
Nintendo Game Boy Advance,Monster Trucks Mayhem (USA),Monster Trucks Mayhem (USA).jpg,Monster Trucks Mayhem (USA).jpg,100.0
Nintendo Game Boy Advance,Monster! Bass Fishing (USA),Monster! Bass Fishing (USA).jpg,Monster! Bass Fishing (USA).jpg,100.0
Nintendo Game Boy Advance,"Monsters, Inc. (USA, Europe)","Monsters, Inc. (USA, Europe) (1).png","Monsters, Inc. (USA, Europe).png",100.0
Nintendo Game Boy Advance,"Moorhen 3 - The Chicken Chase! (Europe) (En,Fr,De,Es,It)","Moorhen 3 - The Chicken Chase! (Europe) (En,Fr,De,Es,It).jpg","Moorhen 3 - The Chicken Chase! (Europe) (En,Fr,De,Es,It).jpg",100.0
Nintendo Game Boy Advance,"Mortal Kombat - Deadly Alliance (USA) (En,Fr,De,Es,It)","Mortal Kombat - Deadly Alliance (USA) (En,Fr,De,Es,It).jpg","Mortal Kombat - Deadly Alliance (USA) (En,Fr,De,Es,It).jpg",100.0
Nintendo Game Boy Advance,"Mortal Kombat - Tournament Edition (USA) (En,Fr,De,Es,It)","Mortal Kombat - Tournament Edition (USA) (En,Fr,De,Es,It).jpg","Mortal Kombat - Tournament Edition (USA) (En,Fr,De,Es,It).jpg",100.0
Nintendo Game Boy Advance,Mortal Kombat Advance (USA),Mortal Kombat Advance (USA).png,Mortal Kombat Advance (USA).png,100.0
Nintendo Game Boy Advance,Mother 1+2 (KOR),Mother 1+2 (KOR).png,Mother 1+2 (KOR).png,100.0
Nintendo Game Boy Advance,Mother 3 (K),Mother 3 (K).png,Mother 3 (K).png,100.0
Nintendo Game Boy Advance,"Motocross Maniacs Advance (USA) (En,Es)","Motocross Maniacs Advance (USA) (En,Es).png","Motocross Maniacs Advance (USA) (En,Es).png",100.0
Nintendo Game Boy Advance,"Motoracer Advance (USA) (En,Fr,De,Es,It)","Motoracer Advance (USA) (En,Fr,De,Es,It).png","Motoracer Advance (USA) (En,Fr,De,Es,It).png",100.0
Nintendo Game Boy Advance,"Mr Nutz (Europe) (En,Fr,De,Es,It)","Mr Nutz (Europe) (En,Fr,De,Es,It).jpg","Mr Nutz (Europe) (En,Fr,De,Es,It).jpg",100.0
Nintendo Game Boy Advance,Mr. Driller 2 (KOR),Mr. Driller 2 (KOR).png,Mr. Driller 2 (KOR).png,100.0
Nintendo Game Boy Advance,Mr. Driller A - Fushigi na Pacteria (KOR),Mr. Driller A - Fushigi na Pacteria (KOR).png,Mr. Driller A - Fushigi na Pacteria (KOR).png,100.0
Nintendo Game Boy Advance,Ms. Pac-Man - Maze Madness (USA),Ms. Pac-Man - Maze Madness (USA).png,Ms. Pac-Man - Maze Madness (USA).png,100.0
Nintendo Game Boy Advance,"Mucha Lucha! - Mascaritas of the Lost Code (USA) (En,Fr,Es)","Mucha Lucha! - Mascaritas of the Lost Code (USA) (En,Fr,Es).jpg","Mucha Lucha! - Mascaritas of the Lost Code (USA) (En,Fr,Es).jpg",100.0
Nintendo Game Boy Advance,"Mummy, The (USA) (En,Fr,De,Es,It)","Mummy, The (USA) (En,Fr,De,Es,It).jpg","Mummy, The (USA) (En,Fr,De,Es,It).jpg",100.0
Nintendo Game Boy Advance,Muppet Pinball Mayhem (USA),Muppet Pinball Mayhem (USA).jpg,Muppet Pinball Mayhem (USA).jpg,100.0
Nintendo Game Boy Advance,"Muppets, The - On with the Show! (USA, Europe) (En,Fr,De,Es,It,Nl)","Muppets, The - On with the Show! (USA, Europe) (En,Fr,De,Es,It,Nl).jpg","Muppets, The - On with the Show! (USA, Europe) (En,Fr,De,Es,It,Nl).jpg",100.0
Nintendo Game Boy Advance,"MX 2002 featuring Ricky Carmichael (USA, Europe)","MX 2002 featuring Ricky Carmichael (USA, Europe).jpg","MX 2002 featuring Ricky Carmichael (USA, Europe).jpg",100.0
Nintendo Game Boy Advance,My Little Pony - Crystal Princess - The Runaway Rainbow (USA),My Little Pony - Crystal Princess - The Runaway Rainbow (USA).jpg,My Little Pony - Crystal Princess - The Runaway Rainbow (USA).jpg,100.0
Nintendo Game Boy Advance,Namco Museum (USA),Namco Museum (USA).jpg,Namco Museum (USA).jpg,100.0
Nintendo Game Boy Advance,Namco Museum - 50th Anniversary (USA),Namco Museum - 50th Anniversary (USA).png,Namco Museum - 50th Anniversary (USA).png,100.0
Nintendo Game Boy Advance,Naruto - Ninja Council (USA),Naruto - Ninja Council (USA).jpg,Naruto - Ninja Council (USA).jpg,100.0
Nintendo Game Boy Advance,Naruto - Ninja Council 2 (USA),Naruto - Ninja Council 2 (USA).png,Naruto - Ninja Council 2 (USA).png,100.0
Nintendo Game Boy Advance,Naruto - Saikyou Ninja Daikessyu 2 (KOR),Naruto - Saikyou Ninja Daikessyu 2 (KOR).jpg,Naruto - Saikyou Ninja Daikessyu 2 (KOR).jpg,100.0
Nintendo Game Boy Advance,NASCAR Heat 2002 (USA),NASCAR Heat 2002 (USA).jpg,NASCAR Heat 2002 (USA).jpg,100.0
Nintendo Game Boy Advance,"NBA Jam 2002 (USA, Europe)","NBA Jam 2002 (USA, Europe).jpg","NBA Jam 2002 (USA, Europe).jpg",100.0
Nintendo Game Boy Advance,"Need for Speed - Most Wanted (USA, Europe) (En,Fr,De,It)","Need for Speed - Most Wanted (USA, Europe) (En,Fr,De,It).png","Need for Speed - Most Wanted (USA, Europe) (En,Fr,De,It).png",100.0
Nintendo Game Boy Advance,Need for Speed - Porsche Unleashed (USA),Need for Speed - Porsche Unleashed (USA).jpg,Need for Speed - Porsche Unleashed (USA).jpg,100.0
Nintendo Game Boy Advance,"Need for Speed - Underground (USA, Europe) (En,Fr,De,It)","Need for Speed - Underground (USA, Europe) (En,Fr,De,It).jpg","Need for Speed - Underground (USA, Europe) (En,Fr,De,It).jpg",100.0
Nintendo Game Boy Advance,"Need for Speed - Underground 2 (USA, Europe) (En,Fr,De,It)","Need for Speed - Underground 2 (USA, Europe) (En,Fr,De,It).png","Need for Speed - Underground 2 (USA, Europe) (En,Fr,De,It).png",100.0
Nintendo Game Boy Advance,"Need for Speed Carbon - Own the City (USA, Europe) (En,Fr,De,Es,It)","Need for Speed Carbon - Own the City (USA, Europe) (En,Fr,De,Es,It).jpg","Need for Speed Carbon - Own the City (USA, Europe) (En,Fr,De,Es,It).jpg",100.0
Nintendo Game Boy Advance,"Next Generation Tennis (Europe) (En,Fr,De,Es,It,Pt)","Next Generation Tennis (Europe) (En,Fr,De,Es,It,Pt).jpg","Next Generation Tennis (Europe) (En,Fr,De,Es,It,Pt).jpg",100.0
